,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
36,35,2022-12-27,@,GSW,L,105,110,38,92,.413,10,38,.263,19,25,.760,9,47,22,6,7,12,20
37,36,2022-12-29,,OKC,W,121,113,46,84,.548,10,32,.313,19,29,.655,12,52,33,8,11,17,17
38,37,2022-12-31,,BRK,L,106,123,38,96,.396,11,41,.268,19,21,.905,14,45,28,7,2,12,17
39,38,2023-01-02,,LAL,L,115,121,42,93,.452,11,32,.344,20,29,.690,8,47,24,8,7,14,22
40,39,2023-01-04,,MEM,L,107,131,38,94,.404,11,38,.289,20,24,.833,10,44,25,11,8,12,23
41,40,2023-01-06,@,MIL,W,138,109,53,102,.520,20,48,.417,12,19,.632,13,49,32,11,3,5,17
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2023-01-08,@,IND,L,111,116,38,88,.432,11,33,.333,24,27,.889,13,49,25,8,4,18,26
45,42,2023-01-10,@,TOR,L,120,132,47,86,.547,15,35,.429,11,15,.733,6,34,33,6,4,9,19
46,43,2023-01-12,@,TOR,L,114,124,41,77,.532,13,33,.394,19,27,.704,9,42,27,6,5,22,30
47,44,2023-01-14,,BOS,L,106,122,41,88,.466,8,27,.296,16,19,.842,10,46,21,3,2,11,11
48,45,2023-01-16,,BOS,L,118,130,41,90,.456,13,31,.419,23,30,.767,13,38,26,7,2,5,18
49,46,2023-01-18,@,HOU,W,122,117,48,96,.500,9,36,.250,17,25,.680,11,37,27,14,10,9,20
50,47,2023-01-21,@,ATL,W,122,118,45,89,.506,13,34,.382,19,22,.864,6,36,28,11,2,12,18
51,48,2023-01-23,@,UTA,L,102,120,38,85,.447,2,16,.125,24,34,.706,11,42,22,8,7,14,23
52,49,2023-01-24,@,PHO,L,97,128,39,96,.406,6,25,.240,13,18,.722,10,40,19,10,5,13,21
53,50,2023-01-26,,CHI,W,111,96,39,84,.464,7,32,.219,26,31,.839,6,52,24,8,5,14,19
54,51,2023-01-29,,MIA,W,122,117,45,83,.542,15,40,.375,17,22,.773,11,47,25,6,3,19,18
55,52,2023-01-31,@,MIL,L,115,124,42,111,.378,11,39,.282,20,26,.769,18,62,27,6,6,11,24
56,53,2023-02-02,@,CHI,L,98,114,39,93,.419,7,35,.200,13,15,.867,16,45,19,6,4,14,15
57,54,2023-02-03,@,DET,L,112,118,40,90,.444,9,34,.265,23,30,.767,8,37,22,16,2,13,20
58,55,2023-02-05,,ORL,L,113,119,45,83,.542,12,33,.364,11,23,.478,8,39,28,8,6,15,23
59,56,2023-02-08,@,WAS,L,104,118,39,93,.419,9,31,.290,17,21,.810,12,40,23,11,5,7,17
60,57,2023-02-10,@,BOS,L,116,127,45,93,.484,8,23,.348,18,26,.692,11,47,26,9,6,13,18
61,58,2023-02-11,,DEN,L,105,119,40,85,.471,8,32,.250,17,29,.586,5,37,25,11,8,14,18
62,59,2023-02-13,,ATL,W,144,138,53,84,.631,20,37,.541,18,23,.783,3,35,36,5,5,17,19
63,60,2023-02-15,,SAS,W,120,110,43,96,.448,14,35,.400,20,29,.690,15,58,26,8,12,15,17
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2023-02-24,@,MIN,W,121,113,43,92,.467,10,28,.357,25,28,.893,11,52,25,10,4,11,17
67,62,2023-02-25,,MIA,W,108,103,38,88,.432,10,31,.323,22,27,.815,11,48,20,10,2,15,22
68,63,2023-02-27,,DET,W,117,106,43,83,.518,13,26,.500,18,22,.818,7,46,24,8,3,16,22
69,64,2023-03-01,,PHO,L,91,105,32,88,.364,9,33,.273,18,28,.643,12,48,20,3,7,13,17
70,65,2023-03-03,,ORL,L,106,117,38,78,.487,9,24,.375,21,25,.840,8,34,25,11,4,21,20
71,66,2023-03-05,@,BRK,L,86,102,33,88,.375,8,30,.267,12,15,.800,5,49,17,2,3,10,19
72,67,2023-03-07,@,NYK,W,112,105,42,85,.494,12,32,.375,16,21,.762,10,42,27,2,5,10,20
73,68,2023-03-09,@,DET,W,113,103,43,86,.500,8,24,.333,19,32,.594,13,44,24,11,9,12,18
74,69,2023-03-11,,UTA,L,111,119,40,98,.408,17,40,.425,14,15,.933,11,43,24,5,14,7,15
75,70,2023-03-12,,CLE,L,108,114,41,80,.513,10,21,.476,16,22,.727,7,43,25,8,5,19,26
76,71,2023-03-14,,CLE,L,104,120,43,76,.566,6,23,.261,12,15,.800,6,40,28,3,8,19,18
77,72,2023-03-17,,PHI,L,82,121,29,86,.337,5,35,.143,19,26,.731,7,35,20,10,6,13,16
78,73,2023-03-20,,IND,W,115,109,41,90,.456,10,31,.323,23,32,.719,10,37,26,12,6,11,22
79,74,2023-03-23,@,NOP,L,96,115,38,83,.458,9,37,.243,11,16,.688,4,38,24,8,4,17,17
80,75,2023-03-24,@,DAL,W,117,109,43,89,.483,11,28,.393,20,27,.741,6,43,32,7,4,8,17
81,76,2023-03-26,,DAL,W,110,104,39,88,.443,12,29,.414,20,24,.833,14,58,27,6,2,14,18
82,77,2023-03-28,@,OKC,W,137,134,52,94,.553,14,35,.400,19,30,.633,15,52,34,6,7,18,24
83,78,2023-03-31,,CHI,L,91,121,35,77,.455,14,37,.378,7,10,.700,4,36,27,3,5,21,21
84,79,2023-04-02,,TOR,L,108,128,42,85,.494,15,31,.484,9,13,.692,10,37,26,3,4,17,11
85,80,2023-04-04,,TOR,L,100,120,36,77,.468,12,31,.387,16,19,.842,6,42,27,3,4,17,22
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2023-04-07,,HOU,L,109,112,38,88,.432,13,41,.317,20,27,.741,7,41,22,10,9,17,21
89,82,2023-04-09,@,CLE,W,106,95,37,81,.457,6,32,.188,26,30,.867,10,49,23,8,5,18,14
